nama_produk,harga,url_gambar,link_produk
Jockey Pump Grundfos CR 5-18,Rp18.200.000,https://fireshop.co.id/wp-content/uploads/2021/12/jual-jockey-pump-grundfos-1.webp,https://fireshop.co.id/harga/jockey-pump-grundfos/
Tohatsu Portable Fire Pump – VC52AS,Rp152.499.850,https://fireshop.co.id/wp-content/uploads/2021/12/Tohatsu-Portable-Pump-VC52AS-1.webp,https://fireshop.co.id/harga/pompa-pemadam-tohatsu-vc52as/
Tohatsu Portable Fire Pump – V20FS,Rp101.999.975,https://fireshop.co.id/wp-content/uploads/2021/12/Tohatsu-Portable-Pump-V20FS-1.webp,https://fireshop.co.id/harga/pompa-pemadam-tohatsu-v20fs/
Diesel Fire Pump Ebara 100×80 FSJ,Rp87.500.000,https://fireshop.co.id/wp-content/uploads/2021/12/DIESEL-HYDRANT-PUMP-Ebara-FSJA.webp,https://fireshop.co.id/harga/diesel-fire-pump-ebara-100x80-fsj/
Electric Fire Pump Ebara FSJ 545,Rp56.800.000,https://fireshop.co.id/wp-content/uploads/2021/12/Pompa_EBARA_100x80_FSJ_545.webp,https://fireshop.co.id/harga/electric-fire-pump-ebara-fsj-545/
,,https://fireshop.co.id/wp-content/uploads/2021/12/Tohatsu-Portable-Pump-VC72AS-1.webp,https://fireshop.co.id/harga/pompa-pemadam-tohatsu-vc72as/
,,https://fireshop.co.id/wp-content/uploads/2021/12/jual-jockey-pump-grundfos-1.webp,https://fireshop.co.id/harga/jockey-pump-grundfos/
,,https://fireshop.co.id/wp-content/uploads/2021/12/Tohatsu-Portable-Pump-VC52AS-1.webp,https://fireshop.co.id/harga/pompa-pemadam-tohatsu-vc52as/
,,https://fireshop.co.id/wp-content/uploads/2021/12/Tohatsu-Portable-Pump-V20FS-1.webp,https://fireshop.co.id/harga/pompa-pemadam-tohatsu-v20fs/
,,https://fireshop.co.id/wp-content/uploads/2021/12/DIESEL-HYDRANT-PUMP-Ebara-FSJA.webp,https://fireshop.co.id/harga/diesel-fire-pump-ebara-100x80-fsj/
,,https://fireshop.co.id/wp-content/uploads/2021/12/Pompa_EBARA_100x80_FSJ_545.webp,https://fireshop.co.id/harga/electric-fire-pump-ebara-fsj-545/
